детском/ADJ,фантастическом/ADJ,фильме/NOUN
советский/ADJ,зерноуборочный/ADJ,комбайн/NOUN
Ленинградского/ADJ,государственного/ADJ,университета/NOUN
Национальной/ADJ,хоккейной/ADJ,лиги/NOUN
Сталинградском/ADJ,механическом/ADJ,институте/NOUN
Лучший/ADJ,новый/ADJ,кинорежиссёр/NOUN
Лучший/ADJ,молодой/ADJ,актёр/NOUN
Углянского/ADJ,сельского/ADJ,совета/NOUN
отдельных/ADJ,голых/ADJ,пиков/NOUN
19-летнего/ADJ,талантливого/ADJ,паренька/NOUN
Псковская/ADJ,монастырская/ADJ,церковь/NOUN
новую/ADJ,апокалиптическую/ADJ,трилогию/NOUN
первый/ADJ,главный/ADJ,редактор/NOUN
прежних/ADJ,языческих/ADJ,верований/NOUN
собственную/ADJ,звукозаписывающую/ADJ,компанию/NOUN
Другим/ADJ,выдающимся/ADJ,социологом/NOUN
Дроздовского/ADJ,сельского/ADJ,поселения/NOUN
Вязовская/ADJ,вековая/ADJ,дубрава/NOUN
золотой/ADJ,драгунской/ADJ,саблей/NOUN
последней/ADJ,дипломатической/ADJ,победой/NOUN
ранние/ADJ,топонимические/ADJ,фамилии/NOUN
крупных/ADJ,девелоперских/ADJ,проектов/NOUN
другой/ADJ,мексиканский/ADJ,эрудит/NOUN
основной/ADJ,рабочий/ADJ,каркас/NOUN
малопроходимые/ADJ,Байкальские/ADJ,хребты/NOUN
Венской/ADJ,государственной/ADJ,опере/NOUN
Московском/ADJ,государственном/ADJ,театре/NOUN
Российском/ADJ,Национальном/ADJ,театре/NOUN
крупными/ADJ,музыкальными/ADJ,перфомансами/NOUN
богатого/ADJ,украинского/ADJ,землевладеца/NOUN
Паскинского/ADJ,сельского/ADJ,округа/NOUN
Второй/ADJ,Балканской/ADJ,войне/NOUN
Первой/ADJ,мировой/ADJ,войне/NOUN
Первой/ADJ,Балканской/ADJ,войны/NOUN
недолгих/ADJ,совместных/ADJ,действий/NOUN
главных/ADJ,музыкальных/ADJ,проектов/NOUN
21-й/ADJ,стрелковой/ADJ,дивизии/NOUN
63-й/ADJ,стрелковый/ADJ,полк/NOUN
36-го/ADJ,стрелкового/ADJ,полка/NOUN
12-й/ADJ,стрелковой/ADJ,дивизии/NOUN
известный/ADJ,советский/ADJ,композитор/NOUN
Ростовского/ADJ,областного/ADJ,Совета/NOUN
важный/ADJ,нисходящий/ADJ,тракт/NOUN
различных/ADJ,рекламных/ADJ,роликов/NOUN
Николаевский/ADJ,кафедральный/ADJ,собор/NOUN
прозрачный/ADJ,бесцветный/ADJ,кристалл/NOUN
белый/ADJ,гигроскопичный/ADJ,порошок/NOUN
примитивное/ADJ,суходольное/ADJ,рисоводство/NOUN
Неудачные/ADJ,военные/ADJ,действия/NOUN
Ленинградское/ADJ,музыкальное/ADJ,училище/NOUN
Кировоградского/ADJ,музыкального/ADJ,училища/NOUN
самой/ADJ,задней/ADJ,двери/NOUN
Дагестанского/ADJ,конного/ADJ,полка/NOUN
пакистанские/ADJ,военно-воздушные/ADJ,силы/NOUN
разных/ADJ,пигмейских/ADJ,народов/NOUN
Центральную/ADJ,музыкальную/ADJ,школу/NOUN
коалиционное/ADJ,Временное/ADJ,правительство/NOUN
старинное/ADJ,русское/ADJ,заклинание/NOUN
Оренбургского/ADJ,педагогического/ADJ,института/NOUN
раннего/ADJ,железного/ADJ,века/NOUN
Трудового/ADJ,Красного/ADJ,Знамени/NOUN
причудливые/ADJ,садовые/ADJ,цветы/NOUN
деревянные/ADJ,токарные/ADJ,изделия/NOUN
Тувинская/ADJ,народно-революционная/ADJ,партия/NOUN
первый/ADJ,генеральный/ADJ,секретарь/NOUN
местных/ADJ,пермских/ADJ,коммунистов/NOUN
правильное/ADJ,научное/ADJ,образование/NOUN
крупнейших/ADJ,речных/ADJ,рукавов/NOUN
Ростовский/ADJ,педагогический/ADJ,институт/NOUN
шаблонные/ADJ,бессмысленные/ADJ,рок-песни/NOUN
шестой/ADJ,студийный/ADJ,альбом/NOUN
расширенная/ADJ,техническая/ADJ,поддержка/NOUN
Троицкого/ADJ,сельского/ADJ,поселения/NOUN
Казанского/ADJ,театрального/ADJ,училища/NOUN
3-й/ADJ,артиллерийской/ADJ,дивизии/NOUN
Священной/ADJ,римской/ADJ,империи/NOUN
Октябрьской/ADJ,железной/ADJ,дороги/NOUN
районной/ADJ,газовой/ADJ,сети/NOUN
Окскому/ADJ,бассейновому/ADJ,округу/NOUN
государственного/ADJ,водного/ADJ,реестра/NOUN
Горьковское/ADJ,военно-политическое/ADJ,училище/NOUN
лучших/ADJ,учебных/ADJ,заведений/NOUN
85-мм/ADJ,танковой/ADJ,пушки/NOUN
новую/ADJ,солнечную/ADJ,электростанцию/NOUN
Заводского/ADJ,сельского/ADJ,поселения/NOUN
Сюянь-Маньчжурский/ADJ,автономный/ADJ,уезд/NOUN
первой/ADJ,чеченской/ADJ,войне/NOUN
некоммерческой/ADJ,образовательной/ADJ,организацией/NOUN
реальным/ADJ,филогенетическим/ADJ,отношениям/NOUN
другой/ADJ,временной/ADJ,зоне/NOUN
Первый/ADJ,короткометражный/ADJ,фильм/NOUN
Ибероамериканскую/ADJ,поэтическую/ADJ,премию/NOUN
Национального/ADJ,книжного/ADJ,совета/NOUN
родной/ADJ,дальневосточной/ADJ,земли/NOUN
средней/ADJ,процентной/ADJ,ставке/NOUN
крупным/ADJ,финансовым/ADJ,учреждениям/NOUN
важной/ADJ,культурной/ADJ,ценностью/NOUN
Первый/ADJ,вражеский/ADJ,самолёт/NOUN
Императорско-королевский/ADJ,Украинский/ADJ,Легион/NOUN
самым/ADJ,серьёзным/ADJ,образом/NOUN
канадских/ADJ,вооружённых/ADJ,сил/NOUN
Украинской/ADJ,Галицкой/ADJ,армии/NOUN
Государственную/ADJ,медицинскую/ADJ,миссию/NOUN
беспилотных/ADJ,спускаемых/ADJ,аппаратов/NOUN
Австралийском/ADJ,национальном/ADJ,университете/NOUN
Суданского/ADJ,социалистического/ADJ,союза/NOUN
матрилатеральный/ADJ,кросскузенный/ADJ,брак/NOUN
летних/ADJ,Олимпийских/ADJ,играх/NOUN
Великой/ADJ,Отечественной/ADJ,войны/NOUN
центральному/ADJ,12-оконному/ADJ,барабану/NOUN
новым/ADJ,морально-философским/ADJ,содержанием/NOUN
Деревянные/ADJ,церковные/ADJ,сооружения/NOUN
Германской/ADJ,Демократической/ADJ,Республики/NOUN
малых/ADJ,половых/ADJ,губ/NOUN
другие/ADJ,республиканские/ADJ,органы/NOUN
Вязгинского/ADJ,сельского/ADJ,поселения/NOUN
сильного/ADJ,полового/ADJ,возбуждения/NOUN
XIX/ADJ,Генеральная/ADJ,Конгрегация/NOUN
Русской/ADJ,Православной/ADJ,Церкви/NOUN
местного/ADJ,исторического/ADJ,значения/NOUN
новом/ADJ,концертном/ADJ,исполнении/NOUN
торгового/ADJ,Волжского/ADJ,пути/NOUN
Киевского/ADJ,государственного/ADJ,института/NOUN
верхнего/ADJ,Куйбышевского/ADJ,водохранилища/NOUN
глобальные/ADJ,философские/ADJ,вопросы/NOUN
стремительном/ADJ,карьерном/ADJ,взлёте/NOUN
Главного/ADJ,Кавказского/ADJ,хребта/NOUN
Первое/ADJ,документальное/ADJ,упоминание/NOUN
современных/ADJ,демократических/ADJ,государств/NOUN
большое/ADJ,депрессивное/ADJ,расстройство/NOUN
Травковского/ADJ,сельского/ADJ,поселения/NOUN
Великой/ADJ,Отечественной/ADJ,войны/NOUN
портативных/ADJ,радио-коммуникационных/ADJ,устройствах/NOUN
поразительные/ADJ,целебные/ADJ,свойства/NOUN
новые/ADJ,рабочие/ADJ,места/NOUN
Начальная/ADJ,разовая/ADJ,доза/NOUN
максимальной/ADJ,полезной/ADJ,работе/NOUN
Южно-Уэльской/ADJ,железной/ADJ,дороги/NOUN
172-я/ADJ,стрелковая/ADJ,дивизия/NOUN
современный/ADJ,мобильный/ADJ,телефон/NOUN
новые/ADJ,интересные/ADJ,места/NOUN
молодые/ADJ,общительные/ADJ,люди/NOUN
Нового/ADJ,общего/ADJ,каталога/NOUN
тонким/ADJ,дневным/ADJ,ароматом/NOUN
старому/ADJ,административному/ADJ,делению/NOUN
